question_id,class,subject,chapter,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learning_objective,ncert_reference
2bfcc9ab-12e1-48df-a798-e52ae043f641,7,Science,Water: A Precious Resource,Water: A Precious Resource,Hard,Assertion Reason,What is the basic unit of life?,Cell,Tissue,Organ,Atom,A,The cell is the smallest structural and functional unit of life.,Concept understanding,NCERT Class 7
cf86dbe6-9070-4441-94d9-94abf3275e54,7,SST,Markets Around Us,Markets Around Us,Easy,Case Study,Which is the largest continent on Earth?,Africa,Asia,Europe,Australia,B,Asia is the largest continent.,Concept understanding,NCERT Class 7
2748bab8-d6a9-4789-91d7-b271a6181361,7,SST,On Equality,On Equality,Easy,Concept MCQ,Which is the largest continent on Earth?,Africa,Asia,Europe,Australia,B,Asia is the largest continent.,Concept understanding,NCERT Class 7
e084707b-a222-490a-9f4e-80f4981bc725,7,Science,Soil,Soil,Hard,Concept MCQ,What is the basic unit of life?,Cell,Tissue,Organ,Atom,A,The cell is the smallest structural and functional unit of life.,Concept understanding,NCERT Class 7
06304c6c-182f-49e5-9c4b-4ce9cc1fbe05,7,Science,Heat,Heat,Easy,Case Study,Which gas do plants use during photosynthesis?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Plants use carbon dioxide to prepare food during photosynthesis.,Concept understanding,NCERT Class 7
bf0cd308-9fd4-4338-a741-4b5b701b0bb7,7,Science,Water: A Precious Resource,Water: A Precious Resource,Hard,Assertion Reason,What is the basic unit of life?,Cell,Tissue,Organ,Atom,A,The cell is the smallest structural and functional unit of life.,Concept understanding,NCERT Class 7
759b449d-eecd-4fce-9fcf-acc1da2e2fe2,7,English,Vocabulary,Vocabulary,Hard,Application MCQ,Choose the correct synonym of 'happy'.,Sad,Joyful,Angry,Weak,B,Joyful means feeling or showing happiness.,Concept understanding,NCERT Class 7
f4d4612a-3739-424f-8a27-9ee0d975e9f7,7,SST,Environment,Environment,Hard,Case Study,Who was the founder of the Mughal Empire in India?,Akbar,Babur,Shah Jahan,Aurangzeb,B,Babur founded the Mughal Empire in 1526.,Concept understanding,NCERT Class 7
928eaf52-84aa-4cae-83d2-42cf0f8b2836,7,English,Fill in the Blanks,Fill in the Blanks,Hard,Application MCQ,Choose the correct synonym of 'happy'.,Sad,Joyful,Angry,Weak,B,Joyful means feeling or showing happiness.,Concept understanding,NCERT Class 7
a8ac4055-6950-4713-954a-6d0f206df9e0,7,Science,Motion and Time,Motion and Time,Hard,Assertion Reason,Which gas do plants use during photosynthesis?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Plants use carbon dioxide to prepare food during photosynthesis.,Concept understanding,NCERT Class 7
b0f16ac3-1284-4760-b73f-c89de81b5a8a,7,Science,Heat,Heat,Easy,Concept MCQ,What is the basic unit of life?,Cell,Tissue,Organ,Atom,A,The cell is the smallest structural and functional unit of life.,Concept understanding,NCERT Class 7
5b9a5239-eaed-4254-a3ef-a68bd1fa88ae,7,Science,Transportation in Animals and Plants,Transportation in Animals and Plants,Medium,Application MCQ,Which gas do plants use during photosynthesis?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Plants use carbon dioxide to prepare food during photosynthesis.,Concept understanding,NCERT Class 7
c18bd859-799b-4a84-8f71-6d6d945c7857,7,SST,Water,Water,Easy,Numerical,Which is the largest continent on Earth?,Africa,Asia,Europe,Australia,B,Asia is the largest continent.,Concept understanding,NCERT Class 7
610fd6d4-6fcf-4798-8002-a76368aaee84,7,Science,Forests: Our Lifeline,Forests: Our Lifeline,Hard,Application MCQ,Which gas do plants use during photosynthesis?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Plants use carbon dioxide to prepare food during photosynthesis.,Concept understanding,NCERT Class 7
c457ebd4-f781-4011-9d7e-4a040c1a79c4,7,SST,Tracing Changes Through Thousand Years,Tracing Changes Through Thousand Years,Hard,Numerical,Who was the founder of the Mughal Empire in India?,Akbar,Babur,Shah Jahan,Aurangzeb,B,Babur founded the Mughal Empire in 1526.,Concept understanding,NCERT Class 7
bea71fc1-7011-45a5-81df-1ed0fb28e8b8,7,Science,Physical and Chemical Changes,Physical and Chemical Changes,Medium,Application MCQ,What is the basic unit of life?,Cell,Tissue,Organ,Atom,A,The cell is the smallest structural and functional unit of life.,Concept understanding,NCERT Class 7
9f920285-b93b-4c3d-977f-cd80cd6e7137,7,SST,Delhi Sultans,Delhi Sultans,Medium,Case Study,Who was the founder of the Mughal Empire in India?,Akbar,Babur,Shah Jahan,Aurangzeb,B,Babur founded the Mughal Empire in 1526.,Concept understanding,NCERT Class 7
6621a614-c154-43d9-8d63-b2405fba39ac,7,SST,Natural Vegetation and Wildlife,Natural Vegetation and Wildlife,Hard,Numerical,Who was the founder of the Mughal Empire in India?,Akbar,Babur,Shah Jahan,Aurangzeb,B,Babur founded the Mughal Empire in 1526.,Concept understanding,NCERT Class 7
a70cbddf-2f7d-4ec6-a09a-4fef3bbf96d7,7,English,Parts of Speech,Parts of Speech,Medium,Assertion Reason,Choose the correct synonym of 'happy'.,Sad,Joyful,Angry,Weak,B,Joyful means feeling or showing happiness.,Concept understanding,NCERT Class 7
52a92b2a-257d-4af6-b350-6de7cde054e8,7,English,Fill in the Blanks,Fill in the Blanks,Easy,Application MCQ,Choose the correct synonym of 'happy'.,Sad,Joyful,Angry,Weak,B,Joyful means feeling or showing happiness.,Concept understanding,NCERT Class 7
6bd70a9b-510a-4d95-b568-56e47a14ed1d,7,English,Parts of Speech,Parts of Speech,Hard,Concept MCQ,Choose the correct synonym of 'happy'.,Sad,Joyful,Angry,Weak,B,Joyful means feeling or showing happiness.,Concept understanding,NCERT Class 7
3a6b923f-77f6-4817-8ce1-442c09c7d9d2,7,Science,Forests: Our Lifeline,Forests: Our Lifeline,Medium,Concept MCQ,Which organ pumps blood in the human body?,Lungs,Brain,Heart,Kidney,C,The heart pumps blood throughout the body.,Concept understanding,NCERT Class 7
5d640afe-fbac-48d4-9baf-f496eb59b146,7,Science,Respiration in Organisms,Respiration in Organisms,Medium,Case Study,Which organ pumps blood in the human body?,Lungs,Brain,Heart,Kidney,C,The heart pumps blood throughout the body.,Concept understanding,NCERT Class 7
0b8c94d2-a9fa-4df7-8e5a-93c7bf9fa59b,7,Science,Electric Current and its Effects,Electric Current and its Effects,Medium,Assertion Reason,Which gas do plants use during photosynthesis?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Plants use carbon dioxide to prepare food during photosynthesis.,Concept understanding,NCERT Class 7
c6b02a9d-1cc1-4967-ad19-b8fba7a144d6,7,Science,Nutrition in Animals,Nutrition in Animals,Hard,Case Study,What is the basic unit of life?,Cell,Tissue,Organ,Atom,A,The cell is the smallest structural and functional unit of life.,Concept understanding,NCERT Class 7
ceedcffa-4208-495b-b38c-e2bc758853d0,7,Science,Forests: Our Lifeline,Forests: Our Lifeline,Easy,Case Study,Which gas do plants use during photosynthesis?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,C,Plants use carbon dioxide to prepare food during photosynthesis.,Concept understanding,NCERT Class 7
563d97ff-b738-4ccb-bdac-d987dca097de,7,English,Sentence Correction,Sentence Correction,Medium,Application MCQ,Choose the correct past tense of 'go'.,Goed,Went,Gone,Going,B,Went is the correct past tense of go.,Concept understanding,NCERT Class 7
c04c4e29-ce82-416d-9e80-456ceb3e1429,7,SST,State Government,State Government,Hard,Numerical,Which is the largest continent on Earth?,Africa,Asia,Europe,Australia,B,Asia is the largest continent.,Concept understanding,NCERT Class 7
ea9a7bea-67be-4871-aa5a-39dae7c2a67b,7,English,Grammar,Grammar,Hard,Numerical,Choose the correct synonym of 'happy'.,Sad,Joyful,Angry,Weak,B,Joyful means feeling or showing happiness.,Concept understanding,NCERT Class 7
6da9c369-99d9-4730-9a74-4f9c550f4a50,7,English,Parts of Speech,Parts of Speech,Medium,Concept MCQ,Choose the correct past tense of 'go'.,Goed,Went,Gone,Going,B,Went is the correct past tense of go.,Concept understanding,NCERT Class 7
3408c5e9-0e2a-465d-ab91-bc6fd4b0496d,7,English,Grammar,Grammar,Medium,Application MCQ,Choose the correct synonym of 'happy'.,Sad,Joyful,Angry,Weak,B,Joyful means feeling or showing happiness.,Concept understanding,NCERT Class 7
51008058-53ff-4264-b705-0cf221fbc41f,7,English,Grammar,Grammar,Hard,Case Study,Choose the correct synonym of 'happy'.,Sad,Joyful,Angry,Weak,B,Joyful means feeling or showing happiness.,Concept understanding,NCERT Class 7
a2a8f840-8219-4480-ac9e-94d7ce093bdd,7,Science,Electric Current and its Effects,Electric Current and its Effects,Easy,Concept MCQ,Which organ pumps blood in the human body?,Lungs,Brain,Heart,Kidney,C,The heart pumps blood throughout the body.,Concept understanding,NCERT Class 7
