question_id,class,subject,chapter,topic,difficulty,question_type,question,option_a,option_b,option_c,option_d,correct_answer,explanation,ncert_reference
ENG_C7_758,7,English,Three Questions,Theme,Medium,MCQ, Hermit says important person is:, King, Family, The person you are with, Hermit,c,Value of present interaction,Honeycomb Unit 1
ENG_C7_740,7,English,Three Questions,Ethics,Medium,MCQ, hermit says most important time is:, Tomorrow, Now, Yesterday, Noon,b,Only the present allows for action,Honeycomb Unit 1
ENG_C7_763,7,English,Three Questions,Theme,Medium,MCQ, hermits says important person is:, Ruler, Wise man, Person you are with, Warrior,c,Ethics of present relationship,Honeycomb Unit 1
MATH_C7_529,7,Mathematics,A Peek Beyond the Point,Measurement,Easy,MCQ,1 meter has how many mm?,100,10,1000,1,c,Standard metric conversion,Ganita Prakash Ch 3
MATH_C7_530,7,Mathematics,Large Numbers Around Us,Place Value,Easy,MCQ,100 lakhs equal to:, 1 crore, 1 million, 10 crores,1000,a,Standard Indian numbering system,Ganita Prakash Ch 1
MATH_C7_539,7,Mathematics,Working with Fractions,Simplification,Medium,MCQ,24/56 simplified is:, 12/28, 3/7, 6/14, 4/8,b,Divide by HCF 8,Ganita Prakash Ch 8
MATH_C7_739,7,Mathematics,Working with Fractions,Simplification,Medium,MCQ,24/56 simplified to lowest form is:, 12/28, 3/7, 6/14, 4/8,b,Divide by highest common factor 8,Ganita Prakash Ch 8
MATH_C7_402,7,Mathematics,Geometric Twins,Pythagoras Property,Hard,MCQ,A 15 m long ladder reaches a window 12 m high from the ground. How far is the foot of the ladder from the wall?, 3 m, 9 m, 27 m, 81 m,b,Using $a^2 + b^2 = c^2$: $b^2 = 15^2 - 12^2 = 225 - 144 = 81$. $\sqrt{81} = 9 m$.,NCERT Ch 6
MATH_C7_555,7,Mathematics,Connecting the Dots,Probability,Hard,MCQ,A bag has 5 red and 5 blue balls; what is the probability of picking a red ball?,1,0.5,0.2,0.1,b,Probability is favorable outcomes (5) divided by total outcomes (10) which equals 1/2 or 0.5,NCERT Ch 3
SST_C7_553,7,Social Science,Understanding the Weather,Instruments,Easy,MCQ,A Barometer is specifically used to measure:, Wind speed, Air pressure, Humidity, Temperature,b,Atmospheric pressure is measured by a barometer to help predict weather changes,Exploring Society Ch 2
SCI_C7_754,7,Science,Measurement of Time and Motion,Physics,Hard,MCQ,A car at 15 m/s travels how far in 1 min?, 15 m, 90 m, 900 m, 150 m,c,Product of speed and 60 seconds,Curiosity Ch 8
SCI_C7_704,7,Science,Measurement of Time and Motion,Physics,Hard,MCQ,A car covers 100 km in 2 hours. What is its speed in m/s?, 50 m/s, 13.88 m/s, 25 m/s, 10 m/s,b,Speed is $50 km/h$; and converting to $m/s$ ($50 \times 5/18$) equals 13.88,Curiosity Ch 8
SCI_CH8_001,7,Science,Measurement of Time and Motion,Speed Calculation,Hard,MCQ,A car travels 100 km in 2 hours. What is its speed in $m/s$?, $50 m/s$, $25 m/s$, $13.88 m/s$, $10 m/s$,c,Speed = Distance/Time = $100/2 = 50 km/h$. To convert to $m/s$ multiply by $5/18$: $50 \times 5/18 \approx 13.88 m/s$.,Ch 8: Curiosity
SCI_C7_516,7,Science,Heat Transfer in Nature,Thermometry,Easy,MCQ,A clinical thermometer is used to measure temperature of:, Water, Air, Human body, Metals,c,Clinical thermometers have a specific range for human health,Curiosity Ch 7
SCI_C7_210,7,Science,Electricity: Circuits and Components,Switching,Easy,MCQ,A component used to break or complete an electric circuit is a:, Cell, Wire, Switch, Bulb,c,A switch acts as a control mechanism to allow or block the flow of electric current.,Curiosity Ch 3
SCI_C7_262,7,Science,Measurement of Time and Motion,Physics,Hard,MCQ,A cyclist covers 12 km in 30 minutes. What is the speed in $km/h$?, 6 $km/h$, 12 $km/h$, 24 $km/h$, 30 $km/h$,c,30 mins is 0.5 hours. Speed = Distance / Time = $12 / 0.5 = 24 km/h$.,
SCI_C7_738,7,Science,Measurement of Time and Motion,Physics,Hard,MCQ,A cyclist goes 12km in 30min. Speed in km/h is:,6,12,24,30,c,Distance / Time = $12 / 0.5 = 24$,Curiosity Ch 8
SCI_C7_209,7,Science,Measurement of Time and Motion,Time,Easy,MCQ,A device that uses the periodic motion of a swinging weight to measure time is a:, Stop watch, Simple pendulum, Digital clock, Sun dial,b,The periodic motion of a simple pendulum was the basis for historical timekeeping devices.,Curiosity Ch 8
SCI_C7_678,7,Science,Electricity,Circuit Components,Easy,MCQ,A device used to 'open' or 'close' an electric circuit is a:, Switch, Bulb, Cell, Wire,a,A switch acts as a control to allow or block the flow of electric current,Curiosity Ch 3
MATH_C7_586,7,Mathematics,Connecting the Dots,Data display,Medium,MCQ,A display where each data value is shown as a dot above a number line is a:, Bar graph, Pie chart, Dot plot, Frequency table,c,Dot plots visualize distribution and variability for small datasets,Ganita Prakash Ch 13
MATH_C7_484,7,Mathematics,Connecting the Dots,Data Visualization,Medium,MCQ,A graph used to show changes in data over time is a:, Pie chart, Bar graph, Line graph, Dot plot,c,Line graphs are ideal for showing trends and changes over continuous intervals,Ganita Prakash Ch 13
SCI_C7_559,7,Science,Electricity,Components,Easy,MCQ,A group of two or more cells connected together is called a:, Fuse, Switch, Battery, Generator,c,A battery is a collection of electrochemical cells linked in series or parallel,Curiosity Ch 3
SST_C7_671,7,Social Science,New Beginnings: Cities and States,History,Medium,MCQ,A guild known as 'Manigramam' was prominent in which part of ancient India?, North India, South India, West India, East India,b,Manigramam was a powerful guild of traders in the southern region of the subcontinent,Exploring Society Ch 4
SCI_C7_701,7,Science,Earth Moon and the Sun,Eclipses,Medium,MCQ,A lunar eclipse occurs when:, Moon is between Sun and Earth, Earth is between Sun and Moon, Sun is between Earth and Moon, Moon blocks sunlight,b,Earth's shadow falls on the Full Moon obstructing the Sun's light,Curiosity Ch 12
SST_C7_708,7,Social Science,Understanding Markets,Economics,Easy,MCQ,A market held on a specific day of the week is a:, Shopping mall, Neighborhood shop, Weekly market, Wholesale hub,c,Weekly markets serve local needs without permanent shops,Exploring Society Ch 12
SST_C7_560,7,Social Science,Understanding Markets,Economics,Easy,MCQ,A market that is held on a specific day of the week is called a:, Shopping mall, Neighborhood shop, Weekly market, Wholesale hub,c,Weekly markets serve local needs and do not have permanent structures,Exploring Society Ch 12
SST_C7_477,7,Social Science,Understanding Markets,Economics,Medium,MCQ,A market where goods are sold in bulk to retailers is a:, Weekly market, Shopping mall, Wholesale market, Neighborhood shop,c,Wholesalers act as intermediaries between producers and small shopkeepers,Exploring Society Ch 12
SST_C7_498,7,Social Science,Understanding Markets,Economics,Easy,MCQ,A market where goods are sold in large quantities to retailers is a:, Weekly market, Shopping mall, Wholesale market, Neighborhood shop,c,Wholesale markets act as the link between producers and local retailers,Exploring Society Ch 12
MATH_C7_520,7,Mathematics,Number Play,Logic,Hard,MCQ,A number is divisible by 9 if its digit sum is a multiple of:,3,9,2,5,b,This is the standard divisibility rule for 9,Ganita Prakash Ch 6
MATH_C7_679,7,Mathematics,Number Play,Divisibility,Hard,MCQ,A number is divisible by 9 if the sum of its digits is a multiple of:,3,9,2,5,b,The divisibility rule for 9 states that the digit sum must be divisible by 9,Ganita Prakash Ch 6
SST_C7_568,7,Social Science,Understanding Markets,Economics,Easy,MCQ,A person who buys goods from a wholesale market to sell them to consumers is a:, Producer, Retailer, Manufacturer, Farmer,b,Retailers act as the final link in the market chain,Exploring Society Ch 12
SST_C7_691,7,Social Science,Exploring Society,History,Easy,MCQ,A person who is skilled in making maps is known as a:, Calligrapher, Cartographer, Chronicler, Scribe,b,Cartography is the specialized science and art of map construction,Exploring Society Ch 4
SST_C7_269,7,Social Science,Tracing Changes,Cartography,Easy,MCQ,A person who makes maps is called a:, Calligrapher, Cartographer, Chronicler, Scribe,b,Cartography is the specialized study and practice of map-making. [7],
SST_C7_353,7,Social Science,Tracing Changes,Cartography,Easy,MCQ,A person who makes maps is known as a:, Calligrapher, Cartographer, Chronicler, Scribe,b,"Cartography is the specialized science and art of map construction.[4,5]",Our Pasts II Ch 1
SCI_C7_484,7,Science,Light: Shadows and Reflections,Physics,Easy,MCQ,A pinhole camera forms an image that is:, Upright and real, Inverted and real, Upright and virtual, Inverted and virtual,b,Light rays from the top and bottom cross through the pinhole; inverting the image,Curiosity Ch 11
SST_C7_645,7,Social Science,Tracing Changes,History,Easy,MCQ,A place where historical records and manuscripts are preserved is a/an:, Laboratory, Archive, Temple, Factory,b,Archives are essential for historians to study written documents from the past,Our Pasts II Ch 1
