question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,subject,chapter,difficulty
CB7-00001,What is 28 + 4?,33,32,31,34,B,28 + 4 = 32,SST,Mughal Empire,Hard
CB7-00002,What is 1 + 1?,4,3,1,2,D,1 + 1 = 2,Science,Physical and Chemical Changes,Easy
CB7-00003,What is 36 + 15?,53,51,50,52,B,36 + 15 = 51,English,Synonyms Antonyms,Hard
CB7-00004,What is 28 + 32?,60,59,61,62,A,28 + 32 = 60,Maths,Rational Numbers,Hard
CB7-00005,What is 49 + 36?,86,84,87,85,D,49 + 36 = 85,English,Sentence Correction,Easy
CB7-00006,What is 24 + 43?,69,66,67,68,C,24 + 43 = 67,Science,Soil,Easy
CB7-00007,What is 18 + 38?,56,57,58,55,A,18 + 38 = 56,English,Vocabulary,Medium
CB7-00008,What is 19 + 46?,65,64,66,67,A,19 + 46 = 65,SST,Inside our Earth,Easy
CB7-00009,What is 28 + 16?,43,44,45,46,B,28 + 16 = 44,Maths,Integers,Hard
CB7-00010,What is 18 + 29?,48,47,49,46,B,18 + 29 = 47,SST,Media,Easy
CB7-00011,What is 49 + 2?,53,51,52,50,B,49 + 2 = 51,SST,Media,Easy
CB7-00012,What is 9 + 44?,54,53,52,55,B,9 + 44 = 53,English,Synonyms Antonyms,Medium
CB7-00013,What is 35 + 6?,41,43,40,42,A,35 + 6 = 41,English,Grammar,Hard
CB7-00014,What is 40 + 41?,83,80,82,81,D,40 + 41 = 81,Science,Physical and Chemical Changes,Medium
CB7-00015,What is 49 + 12?,63,60,62,61,D,49 + 12 = 61,English,Comprehension,Medium
CB7-00016,What is 17 + 34?,52,53,50,51,D,17 + 34 = 51,SST,Delhi Sultanate,Easy
CB7-00017,What is 14 + 40?,54,56,53,55,A,14 + 40 = 54,Maths,Simple Equations,Medium
CB7-00018,What is 8 + 47?,57,54,56,55,D,8 + 47 = 55,Science,Weather Climate,Hard
CB7-00019,What is 10 + 47?,56,59,57,58,C,10 + 47 = 57,English,Fill in the Blanks,Easy
CB7-00020,What is 47 + 7?,54,53,56,55,A,47 + 7 = 54,SST,Environment,Easy
CB7-00021,What is 13 + 11?,24,26,23,25,A,13 + 11 = 24,SST,Environment,Easy
CB7-00022,What is 48 + 20?,70,68,69,67,B,48 + 20 = 68,Science,Fibre to Fabric,Easy
CB7-00023,What is 39 + 40?,81,78,80,79,D,39 + 40 = 79,SST,Equality,Medium
CB7-00024,What is 45 + 43?,87,89,90,88,D,45 + 43 = 88,Science,Respiration,Medium
CB7-00025,What is 16 + 41?,57,59,58,56,A,16 + 41 = 57,English,Sentence Correction,Medium
CB7-00026,What is 28 + 1?,30,31,28,29,D,28 + 1 = 29,Science,Soil,Easy
CB7-00027,What is 40 + 50?,91,90,89,92,B,40 + 50 = 90,Science,Soil,Easy
CB7-00028,What is 46 + 40?,86,85,87,88,A,46 + 40 = 86,Maths,Integers,Hard
CB7-00029,What is 15 + 46?,62,63,60,61,D,15 + 46 = 61,English,Vocabulary,Easy
CB7-00030,What is 30 + 15?,46,45,44,47,B,30 + 15 = 45,Science,Soil,Medium
CB7-00031,What is 22 + 36?,57,59,58,60,C,22 + 36 = 58,SST,Markets,Hard
CB7-00032,What is 3 + 8?,12,11,10,13,B,3 + 8 = 11,Science,Nutrition in Animals,Hard
CB7-00033,What is 32 + 23?,55,56,57,54,A,32 + 23 = 55,English,Synonyms Antonyms,Hard
CB7-00034,What is 50 + 29?,79,78,80,81,A,50 + 29 = 79,SST,State Government,Medium
CB7-00035,What is 33 + 39?,72,74,73,71,A,33 + 39 = 72,SST,Delhi Sultanate,Medium
CB7-00036,What is 5 + 19?,24,25,26,23,A,5 + 19 = 24,Maths,Simple Equations,Hard
CB7-00037,What is 7 + 50?,56,58,59,57,D,7 + 50 = 57,SST,Environment,Medium
CB7-00038,What is 10 + 40?,49,50,51,52,B,10 + 40 = 50,English,Vocabulary,Easy
CB7-00039,What is 45 + 10?,56,54,57,55,D,45 + 10 = 55,SST,Media,Medium
CB7-00040,What is 42 + 6?,50,48,47,49,B,42 + 6 = 48,SST,Markets,Medium
CB7-00041,What is 35 + 13?,50,49,47,48,D,35 + 13 = 48,English,Synonyms Antonyms,Medium
CB7-00042,What is 9 + 10?,20,18,21,19,D,9 + 10 = 19,English,Tenses,Easy
CB7-00043,What is 47 + 46?,95,94,93,92,C,47 + 46 = 93,English,Tenses,Hard
CB7-00044,What is 36 + 13?,51,49,48,50,B,36 + 13 = 49,SST,Air and Water,Easy
CB7-00045,What is 21 + 16?,37,39,36,38,A,21 + 16 = 37,Maths,Comparing Quantities,Easy
CB7-00046,What is 22 + 17?,40,38,41,39,D,22 + 17 = 39,Science,Transportation in Plants and Animals,Hard
CB7-00047,What is 18 + 26?,46,43,45,44,D,18 + 26 = 44,Science,Physical and Chemical Changes,Hard
CB7-00048,What is 7 + 14?,23,22,20,21,D,7 + 14 = 21,Science,Soil,Hard
CB7-00049,What is 14 + 15?,28,29,31,30,B,14 + 15 = 29,Maths,Lines and Angles,Medium
CB7-00050,What is 17 + 31?,49,48,50,47,B,17 + 31 = 48,Science,Nutrition in Animals,Hard
CB7-00051,What is 48 + 28?,76,75,78,77,A,48 + 28 = 76,Science,Motion and Time,Medium
CB7-00052,What is 17 + 9?,26,25,27,28,A,17 + 9 = 26,Science,Transportation in Plants and Animals,Easy
CB7-00053,What is 33 + 29?,62,64,61,63,A,33 + 29 = 62,Science,Nutrition in Animals,Hard
CB7-00054,What is 38 + 42?,81,80,79,82,B,38 + 42 = 80,Maths,Perimeter and Area,Medium
CB7-00055,What is 29 + 26?,56,54,57,55,D,29 + 26 = 55,SST,Equality,Easy
CB7-00056,What is 23 + 44?,66,69,68,67,D,23 + 44 = 67,SST,Delhi Sultanate,Medium
CB7-00057,What is 22 + 44?,65,66,68,67,B,22 + 44 = 66,English,Fill in the Blanks,Medium
CB7-00058,What is 3 + 9?,13,12,14,11,B,3 + 9 = 12,SST,Equality,Medium
CB7-00059,What is 8 + 48?,56,55,58,57,A,8 + 48 = 56,English,Tenses,Medium
CB7-00060,What is 43 + 11?,56,54,53,55,B,43 + 11 = 54,English,Comprehension,Medium
CB7-00061,What is 18 + 21?,38,39,40,41,B,18 + 21 = 39,SST,Air and Water,Easy
CB7-00062,What is 32 + 13?,47,45,44,46,B,32 + 13 = 45,Science,Soil,Medium
CB7-00063,What is 35 + 33?,70,68,67,69,B,35 + 33 = 68,SST,Markets,Hard
CB7-00064,What is 27 + 29?,57,56,55,58,B,27 + 29 = 56,SST,Delhi Sultanate,Hard
CB7-00065,What is 31 + 41?,73,74,71,72,D,31 + 41 = 72,Maths,Triangle and Properties,Hard
CB7-00066,What is 19 + 13?,31,32,33,34,B,19 + 13 = 32,English,Comprehension,Easy
CB7-00067,What is 16 + 19?,35,36,34,37,A,16 + 19 = 35,English,Sentence Correction,Easy
CB7-00068,What is 20 + 49?,69,70,68,71,A,20 + 49 = 69,Maths,Lines and Angles,Hard
CB7-00069,What is 31 + 42?,74,73,75,72,B,31 + 42 = 73,Science,Motion and Time,Hard
CB7-00070,What is 35 + 19?,55,56,54,53,C,35 + 19 = 54,English,Comprehension,Medium
CB7-00071,What is 46 + 40?,87,88,85,86,D,46 + 40 = 86,SST,Environment,Medium
CB7-00072,What is 44 + 44?,87,90,89,88,D,44 + 44 = 88,Maths,Rational Numbers,Hard
CB7-00073,What is 8 + 36?,45,43,44,46,C,8 + 36 = 44,Maths,Triangle and Properties,Easy
CB7-00074,What is 4 + 5?,8,11,10,9,D,4 + 5 = 9,English,Fill in the Blanks,Easy
CB7-00075,What is 20 + 6?,26,25,28,27,A,20 + 6 = 26,Science,Weather Climate,Easy
CB7-00076,What is 2 + 10?,14,11,13,12,D,2 + 10 = 12,Science,Acids Bases and Salts,Hard
CB7-00077,What is 3 + 12?,15,16,17,14,A,3 + 12 = 15,English,Sentence Correction,Medium
CB7-00078,What is 34 + 18?,54,53,51,52,D,34 + 18 = 52,English,Synonyms Antonyms,Medium
CB7-00079,What is 43 + 16?,60,58,59,61,C,43 + 16 = 59,English,Synonyms Antonyms,Hard
CB7-00080,What is 8 + 22?,30,31,32,29,A,8 + 22 = 30,English,Fill in the Blanks,Medium
CB7-00081,What is 16 + 30?,46,47,45,48,A,16 + 30 = 46,Maths,Data Handling,Hard
CB7-00082,What is 17 + 28?,44,47,46,45,D,17 + 28 = 45,English,Fill in the Blanks,Hard
CB7-00083,What is 28 + 35?,64,63,65,62,B,28 + 35 = 63,Science,Weather Climate,Medium
CB7-00084,What is 33 + 5?,39,40,38,37,C,33 + 5 = 38,Maths,Rational Numbers,Medium
CB7-00085,What is 49 + 7?,57,55,58,56,D,49 + 7 = 56,English,Sentence Correction,Easy
